Zone,ObjectName,Timestamp
0,0,2025-03-31 14:09:55
1,30,2025-03-31 14:09:59
2,10,2025-03-31 14:10:06
3,50,2025-03-31 14:10:19
4,100,2025-03-31 14:10:17
