Zone,ObjectName,Timestamp
0,Fur ball,2025-03-31 18:38:50
1,Sponge ball,2025-03-31 18:39:31
2,bouncy ball,2025-03-31 18:40:43
3,BaseBall,2025-03-31 18:40:49
4,Steal ball,2025-03-31 18:40:27
