Zone,ObjectName,Timestamp
0,Fur ball,2025-03-26 13:28:25
1,Sponge ball,2025-03-26 13:28:29
2,bouncy ball,2025-03-26 13:28:39
3,BaseBall,2025-03-26 13:28:34
4,Steal ball,2025-03-26 13:28:44
