Zone,ObjectName,Timestamp
0,0,2025-04-17 17:12:55
1,10,2025-04-17 17:12:57
2,30,2025-04-17 17:13:08
3,50,2025-04-17 17:13:12
4,100,2025-04-17 17:13:20
