Zone,ObjectName,Timestamp
0,0,2025-04-01 14:51:02
1,10,2025-04-01 14:50:05
2,30,2025-04-01 14:50:29
3,100,2025-04-01 14:50:50
4,50,2025-04-01 14:50:56
