Zone,ObjectName,Timestamp
0,0,2025-05-30 12:20:54
1,10,2025-05-30 12:22:13
2,30,2025-05-30 12:21:20
3,100,2025-05-30 12:22:51
4,50,2025-05-30 12:22:34
