Zone,ObjectName,Timestamp
0,Fur ball,2025-04-01 14:27:26
1,Sponge ball,2025-04-01 14:27:53
2,bouncy ball,2025-04-01 14:27:50
3,BaseBall,2025-04-01 14:27:42
4,Steal ball,2025-04-01 14:27:40
