Zone,ObjectName,Timestamp
0,Fur ball,2025-05-28 15:26:31
1,Sponge ball,2025-05-28 15:26:34
2,bouncy ball,2025-05-28 15:26:02
3,BaseBall,2025-05-28 15:26:41
4,Steal ball,2025-05-28 15:26:47
