Zone,ObjectName,Timestamp
0,0,2025-04-16 19:31:28
1,10,2025-04-16 19:31:52
2,100,2025-04-16 19:32:24
3,Pinky_MP,2025-04-16 19:32:26
3,30,2025-04-16 19:32:26
3,Ring_DP,2025-04-16 19:32:26
4,50,2025-04-16 19:32:09
