Zone,ObjectName,Timestamp
0,Fur ball,2025-04-16 19:22:44
1,Steal ball,2025-04-16 19:22:49
2,bouncy ball,2025-04-16 19:23:05
3,Sponge ball,2025-04-16 19:23:03
4,BaseBall,2025-04-16 19:23:00
