Zone,ObjectName,Timestamp
0,Fur ball,2025-04-10 22:30:08
1,Sponge ball,2025-04-10 22:30:05
2,bouncy ball,2025-04-10 22:30:11
2,Thumb_PP,2025-04-10 22:30:11
3,Steal ball,2025-04-10 22:30:30
4,BaseBall,2025-04-10 22:30:38
