2025-04-12 오후 5:01:12,50,1,1
2025-04-12 오후 5:01:15,0,1,2
2025-04-12 오후 5:01:19,10,1,3
2025-04-12 오후 5:01:22,100,1,4
2025-04-12 오후 5:01:22,100,2,5
2025-04-12 오후 5:01:24,100,3,6
2025-04-12 오후 5:01:27,30,1,7
2025-04-12 오후 5:01:30,30,2,8
2025-04-12 오후 5:01:31,30,3,9
2025-04-12 오후 5:01:35,100,4,10
2025-04-12 오후 5:01:37,100,5,11
2025-04-12 오후 5:01:42,10,2,12
2025-04-12 오후 5:01:44,10,3,13
2025-04-12 오후 5:01:47,50,2,14
2025-04-12 오후 5:01:55,0,2,15
