2025-04-01 오후 2:59:11,Sponge ball,1,15
2025-04-01 오후 2:59:17,Fur ball,1,16
2025-04-01 오후 2:59:27,bouncy ball,1,1
2025-04-01 오후 2:59:37,Fur ball,1,2
2025-04-01 오후 2:59:41,Steal ball,1,3
2025-04-01 오후 2:59:51,Sponge ball,1,4
2025-04-01 오후 2:59:57,bouncy ball,2,5
2025-04-01 오후 3:00:05,Sponge ball,2,6
2025-04-01 오후 3:00:14,bouncy ball,3,7
2025-04-01 오후 3:00:18,BaseBall,1,8
2025-04-01 오후 3:00:25,Steal ball,2,9
2025-04-01 오후 3:00:28,BaseBall,2,10
