Zone,ObjectName,Timestamp
0,0,2025-04-01 14:48:26
1,10,2025-04-01 14:49:06
1,Middle_MP,2025-04-01 14:49:06
1,Ring_PP,2025-04-01 14:49:06
2,30,2025-04-01 14:49:18
3,50,2025-04-01 14:49:31
4,100,2025-04-01 14:49:29
