Zone,ObjectName,Timestamp
0,0,2025-03-25 19:33:30
1,10,2025-03-25 19:33:41
2,30,2025-03-25 19:33:45
3,100,2025-03-25 19:34:34
4,50,2025-03-25 19:34:32
