Zone,ObjectName,Timestamp
0,Fur ball,2025-04-16 14:58:51
1,Sponge ball,2025-04-16 14:59:07
2,bouncy ball,2025-04-16 14:59:33
3,BaseBall,2025-04-16 14:59:35
4,Steal ball,2025-04-16 14:58:46
